order_id,product_id,product_name,order_date,shipped_date,remittance_date,remittance_days,destination_pincode,courier_partner,cost_price,selling_price,quantity,payment_method,rto_status
ORD-7002,SKU-1011,Hardcover Journal Notebook,2025-08-02 11:45:00,2025-03-08 10:00:15,2025-08-14 15:30:00,159.0,560068,Blue Dart,210.0,599.0,2,COD,False
ORD-7005,SKU-1001,Organic Cotton T-Shirt,2025-08-04 18:00:00,2025-05-08 09:30:00,,,560034,Delhivery,485.5,1299.0,3,COD,True
ORD-7007,SKU-1002,Wireless Bluetooth Speaker,2025-08-06 20:55:00,2025-07-08 11:15:00,2025-08-19 14:00:00,42.0,411001,Shiprocket,1250.0,2499.0,1,COD,False
ORD-7010,SKU-1003,Handmade Leather Wallet,2025-08-09 11:00:00,2025-10-08 14:30:00,2025-08-23 12:00:00,-47.0,411018,Blue Dart,450.0,1199.0,1,COD,False
ORD-7012,SKU-1018,Minimalist Wall Clock,2025-08-12 13:00:00,2025-08-13 15:00:00,2025-08-26 13:10:00,12.0,560078,Delhivery,720.0,1799.0,1,COD,False
ORD-7015,SKU-1019,Desk Organizer Tray,2025-08-16 10:10:00,2025-08-17 13:00:00,2025-08-25 10:00:00,7.0,560102,Shiprocket,350.0,899.0,3,COD,False
ORD-7017,SKU-1013,Gourmet Coffee Beans (250g),2025-08-20 09:00:00,2025-08-21 12:00:00,2025-02-09 14:50:00,-193.0,400093,Blue Dart,380.0,849.0,1,COD,False
ORD-7020,SKU-1001,Organic Cotton T-Shirt,2025-08-25 18:20:00,2025-08-26 20:00:00,2025-06-09 18:30:00,-79.0,400067,Delhivery,485.5,1299.0,1,COD,False
ORD-7023,SKU-1016,Insulated Lunch Box,2025-09-01 10:00:00,2025-02-09 12:15:00,2025-09-13 10:10:00,215.0,411033,Delhivery,650.7,1499.0,1,COD,False
ORD-7025,SKU-1011,Hardcover Journal Notebook,2025-09-03 16:40:00,2025-04-09 18:00:00,2025-09-16 11:00:00,159.0,560037,Blue Dart,210.0,599.0,2,COD,False
ORD-7027,SKU-1008,Portable Power Bank 10000mAh,2025-09-08 12:00:00,2025-09-09 14:00:00,,,411007,Delhivery,975.5,2199.0,1,COD,True
ORD-7030,SKU-1015,Bamboo Cutting Board,2025-09-18 20:00:00,2025-09-19 22:00:00,2025-09-29 12:30:00,9.0,110005,Delhivery,410.0,999.0,1,COD,False
ORD-7031,SKU-1357,Unleash Revolutionary Supply-Chains,2025-12-08 14:18:55,2025-12-09 08:06:38,2025-12-17 08:06:38,8.0,110001,Shiprocket,4942.89,11747.83,2,COD,False
ORD-7035,SKU-1098,E-Enable Killer Web-Readiness,2025-12-08 20:21:17,2025-12-09 16:05:01,2025-12-20 16:05:01,11.0,110001,Delhivery,769.24,2161.19,3,COD,False
ORD-7036,SKU-1294,Syndicate B2B Mindshare,2025-12-08 22:57:40,2025-12-09 03:03:23,2025-12-17 03:03:23,8.0,560034,Shiprocket,4273.0,8731.86,3,COD,False
ORD-7037,SKU-1478,Generate Front-End Schemas,2025-12-09 00:13:57,2025-12-09 06:26:25,2025-12-20 06:26:25,11.0,560068,Delhivery,1203.75,2183.69,3,COD,False
ORD-7039,SKU-1340,Brand Dot-Com Markets,2025-12-09 05:30:22,2025-12-09 20:51:45,2025-12-19 20:51:45,10.0,560068,Shiprocket,384.21,624.77,3,COD,False
ORD-7042,SKU-1029,Engage B2B Metrics,2025-12-09 10:26:57,2025-12-10 01:46:50,2025-12-20 01:46:50,10.0,110001,Shiprocket,3486.01,6017.17,1,COD,False
ORD-7045,SKU-1114,Synergize Synergistic Platforms,2025-12-09 14:55:54,2025-12-10 10:37:42,2025-12-24 10:37:42,14.0,560068,Delhivery,2193.37,4115.21,1,COD,False
ORD-7048,SKU-1226,Extend Innovative Action-Items,2025-12-09 19:50:48,2025-12-10 01:19:43,2025-12-21 01:19:43,11.0,110037,Ekart Logistics,3815.85,9804.65,2,COD,False
ORD-7051,SKU-1288,Monetize Web-Enabled Architectures,2025-12-10 00:41:37,2025-12-10 21:59:22,2025-12-17 21:59:22,7.0,411057,Ekart Logistics,2248.94,5243.51,3,COD,False
ORD-7055,SKU-1022,Revolutionize Scalable Channels,2025-12-10 06:17:40,2025-12-11 02:23:20,2025-12-22 02:23:20,11.0,560034,Shiprocket,3721.48,5945.91,2,COD,False
